время;пользователь;действие;источник_ip;успех
2025-04-01 00:00:00;admin2;create_vm;203.0.113.94;True
2025-04-01 01:00:00;admin4;change_perms;192.168.175.50;True
2025-04-01 02:00:00;admin2;login;192.168.237.52;True
2025-04-01 03:00:00;admin2;login;192.168.100.37;True
2025-04-01 04:00:00;admin1;login;203.0.113.6;True
2025-04-01 05:00:00;admin4;change_perms;192.168.143.26;True
2025-04-01 06:00:00;admin1;login;192.168.104.29;True
2025-04-01 07:00:00;admin1;login;192.168.132.203;True
2025-04-01 08:00:00;admin1;login;203.0.113.31;True
2025-04-01 09:00:00;admin3;login;192.168.189.7;True
2025-04-01 10:00:00;admin3;delete_vm;192.168.211.20;True
2025-04-01 11:00:00;admin4;change_perms;192.168.164.57;True
2025-04-01 12:00:00;admin2;login;203.0.113.60;True
2025-04-01 13:00:00;admin3;login;192.168.184.240;True
2025-04-01 14:00:00;admin3;change_perms;192.168.251.255;True
2025-04-01 15:00:00;admin3;delete_vm;192.168.66.86;True
2025-04-01 16:00:00;admin3;change_perms;203.0.113.51;True
2025-04-01 17:00:00;admin4;delete_vm;192.168.136.36;True
2025-04-01 18:00:00;admin3;login;192.168.90.96;True
2025-04-01 19:00:00;admin2;delete_vm;192.168.75.6;True
2025-04-01 20:00:00;admin1;change_perms;203.0.113.16;True
2025-04-01 21:00:00;admin4;delete_vm;192.168.117.222;True
2025-04-01 22:00:00;admin4;change_perms;192.168.179.46;True
2025-04-01 23:00:00;admin4;delete_vm;192.168.171.15;True
2025-04-02 00:00:00;admin1;delete_vm;203.0.113.49;True
2025-04-02 01:00:00;admin3;change_perms;192.168.192.92;True
2025-04-02 02:00:00;admin1;create_vm;192.168.239.115;True
2025-04-02 03:00:00;admin1;login;192.168.243.137;True
2025-04-02 04:00:00;admin1;login;203.0.113.81;True
2025-04-02 05:00:00;admin2;login;192.168.22.156;True
